"Name der Installation";"phzh"
"Datum des Reports";"01. Jun 2022, 14:12"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (31. Mai 2021, 02:00 - 31. Mai 2022, 02:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"925994"
"Abgänge";"925131"
"Abgänge - Logout";"85788"
"Abgänge - Timeout";"835213"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"4130"

"active_min";"active_max";"active_avg";"slot_begin"
"1";"167";"79";"30.12.2021 00:00"
"1";"117";"40";"31.12.2021 00:00"
"1";"87";"33";"01.01.2022 00:00"
"1";"190";"84";"02.01.2022 00:00"
"2";"396";"177";"03.01.2022 00:00"
"1";"366";"159";"04.01.2022 00:00"
"3";"396";"177";"05.01.2022 00:00"
"3";"396";"174";"06.01.2022 00:00"
"3";"439";"182";"07.01.2022 00:00"
"2";"264";"116";"08.01.2022 00:00"
"1";"323";"158";"09.01.2022 00:00"
"2";"655";"306";"10.01.2022 00:00"
"3";"544";"238";"11.01.2022 00:00"
"2";"468";"209";"12.01.2022 00:00"
"1";"602";"240";"13.01.2022 00:00"
"1";"507";"215";"14.01.2022 00:00"
"1";"307";"119";"15.01.2022 00:00"
"2";"224";"103";"16.01.2022 00:00"
"1";"606";"265";"17.01.2022 00:00"
"1";"499";"215";"18.01.2022 00:00"
"1";"455";"214";"19.01.2022 00:00"
"2";"434";"204";"20.01.2022 00:00"
"1";"557";"206";"21.01.2022 00:00"
"3";"256";"100";"22.01.2022 00:00"
"1";"219";"107";"23.01.2022 00:00"
"1";"530";"215";"24.01.2022 00:00"
"1";"430";"183";"25.01.2022 00:00"
"2";"374";"183";"26.01.2022 00:00"
"1";"534";"228";"27.01.2022 00:00"
"3";"490";"216";"28.01.2022 00:00"
"1";"276";"117";"29.01.2022 00:00"
"2";"290";"121";"30.01.2022 00:00"
"1";"506";"225";"31.01.2022 00:00"
"1";"511";"212";"01.02.2022 00:00"
"6";"510";"220";"02.02.2022 00:00"
"4";"500";"217";"03.02.2022 00:00"
"5";"660";"243";"04.02.2022 00:00"
"6";"226";"101";"05.02.2022 00:00"
"3";"256";"116";"06.02.2022 00:00"
"1";"531";"215";"07.02.2022 00:00"
"1";"551";"210";"08.02.2022 00:00"
"1";"435";"203";"09.02.2022 00:00"
"4";"497";"200";"10.02.2022 00:00"
"2";"472";"184";"11.02.2022 00:00"
"1";"140";"62";"12.02.2022 00:00"
"1";"126";"62";"13.02.2022 00:00"
"2";"385";"166";"14.02.2022 00:00"
"1";"405";"162";"15.02.2022 00:00"
"1";"339";"151";"16.02.2022 00:00"
"2";"375";"158";"17.02.2022 00:00"
"1";"293";"134";"18.02.2022 00:00"
"1";"203";"90";"19.02.2022 00:00"
"2";"339";"161";"20.02.2022 00:00"
"6";"1445";"614";"21.02.2022 00:00"
"4";"1255";"532";"22.02.2022 00:00"
