"Name der Installation";"phzh"
"Datum des Reports";"02. Nov 2020, 17:27"
"Ersteller des Reports";"Alix Mela (Admin)"
"Titel";"Langzeithistorie - Jahr (01. Nov 2019, 01:00 - 31. Okt 2020, 01:00)"
"Vollauslastung [min]";"0"
"Abgewiesene Benutzer";"0"
"Zugänge";"796889"
"Abgänge";"795459"
"Abgänge - Logout";"99182"
"Abgänge - Timeout";"692517"
"Abgänge - Leerlaufzeit";"0"
"Abgänge - Leerlaufzeit (1. Anfrage)";"0"
"Abgänge - Anonym zu Login";"0"
"Abgänge - Sonstige";"3760"

"active_min";"active_max";"active_avg";"slot_begin"
"2";"1034";"322";"11.09.2020 00:00"
"1";"293";"137";"12.09.2020 00:00"
"1";"489";"211";"13.09.2020 00:00"
"5";"1697";"622";"14.09.2020 00:00"
"2";"1452";"644";"15.09.2020 00:00"
"2";"1643";"700";"16.09.2020 00:00"
"2";"1604";"678";"17.09.2020 00:00"
"8";"1650";"577";"18.09.2020 00:00"
"2";"411";"184";"19.09.2020 00:00"
"3";"542";"286";"20.09.2020 00:00"
"4";"1798";"773";"21.09.2020 00:00"
"1";"1365";"643";"22.09.2020 00:00"
"5";"1494";"690";"23.09.2020 00:00"
"9";"1390";"622";"24.09.2020 00:00"
"4";"1583";"560";"25.09.2020 00:00"
"1";"508";"219";"26.09.2020 00:00"
"1";"545";"259";"27.09.2020 00:00"
"5";"1622";"694";"28.09.2020 00:00"
"3";"1336";"612";"29.09.2020 00:00"
"4";"1407";"627";"30.09.2020 00:00"
"5";"1247";"571";"01.10.2020 00:00"
"2";"1378";"487";"02.10.2020 00:00"
"1";"398";"173";"03.10.2020 00:00"
"4";"489";"246";"04.10.2020 00:00"
"3";"1545";"670";"05.10.2020 00:00"
"1";"600";"414";"06.10.2020 00:00"
"600";"600";"600";"07.10.2020 00:00"
"600";"600";"600";"08.10.2020 00:00"
"600";"600";"600";"09.10.2020 00:00"
"600";"600";"600";"10.10.2020 00:00"
"600";"600";"600";"11.10.2020 00:00"
"600";"600";"600";"12.10.2020 00:00"
"600";"600";"600";"13.10.2020 00:00"
"600";"600";"600";"14.10.2020 00:00"
"600";"600";"600";"15.10.2020 00:00"
"600";"600";"600";"16.10.2020 00:00"
"600";"600";"600";"17.10.2020 00:00"
"600";"600";"600";"18.10.2020 00:00"
"600";"600";"600";"19.10.2020 00:00"
"600";"600";"600";"20.10.2020 00:00"
"600";"600";"600";"21.10.2020 00:00"
"600";"600";"600";"22.10.2020 00:00"
"600";"600";"600";"23.10.2020 00:00"
"600";"600";"600";"24.10.2020 00:00"
"600";"600";"600";"25.10.2020 00:00"
"600";"600";"600";"26.10.2020 00:00"
"600";"600";"600";"27.10.2020 00:00"
"600";"600";"600";"28.10.2020 00:00"
"600";"600";"600";"29.10.2020 00:00"
"600";"600";"600";"30.10.2020 00:00"
"600";"600";"600";"31.10.2020 00:00"
